instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-offset-depot,clustered-offset-depot_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m7_r01.txt,1000,7,lkh-wrapper-v2,2458.2122513007257,0.589192,True,ortools-gls,2670.83384,5.001761,True,ok,-212.621589,-7.960869
clustered-offset-depot,clustered-offset-depot_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m7_r01.txt,1000,7,lkh-wrapper-v3,2456.3847258446694,2.659203,True,ortools-gls,2670.83384,5.001761,True,ok,-214.449114,-8.029294
clustered-offset-depot,clustered-offset-depot_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m2_r01.txt,100,2,rand+nn,353.50676549333525,4.5e-05,True,ortools-gls,183.710468,5.000787,True,ok,169.796297,92.426033
clustered-offset-depot,clustered-offset-depot_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m2_r01.txt,100,2,2opt+greed,287.32777247250147,0.000202,True,ortools-gls,183.710468,5.000787,True,ok,103.617304,56.402504
clustered-offset-depot,clustered-offset-depot_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m2_r01.txt,100,2,lkh-wrapper-v2,188.9701608553237,0.004102,True,ortools-gls,183.710468,5.000787,True,ok,5.259693,2.863034
clustered-offset-depot,clustered-offset-depot_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m2_r01.txt,100,2,lkh-wrapper-v3,185.5142977359814,0.007112,True,ortools-gls,183.710468,5.000787,True,ok,1.80383,0.981887
clustered-offset-depot,clustered-offset-depot_n100_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m3_r01.txt,100,3,rand+nn,449.52608122740514,4.9e-05,True,ortools-gls,194.354246,5.00082,True,ok,255.171835,131.292133
clustered-offset-depot,clustered-offset-depot_n100_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m3_r01.txt,100,3,2opt+greed,350.07244093639906,0.000127,True,ortools-gls,194.354246,5.00082,True,ok,155.718195,80.120809
clustered-offset-depot,clustered-offset-depot_n100_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m3_r01.txt,100,3,lkh-wrapper-v2,193.44709930293155,0.005281,True,ortools-gls,194.354246,5.00082,True,ok,-0.907147,-0.466749
clustered-offset-depot,clustered-offset-depot_n100_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m3_r01.txt,100,3,lkh-wrapper-v3,190.24945618955124,0.007246,True,ortools-gls,194.354246,5.00082,True,ok,-4.10479,-2.112015
