instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,18,508.01616169725116,0.005265,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,19,511.2541703557802,0.006787,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,20,509.7142815979969,0.00688,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,1,1438.1233457362268,0.00048,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,2,1379.0643320870374,0.000855,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,3,1384.5756634471527,0.000444,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,4,1293.0360839088382,0.000457,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,5,1452.2778843267333,0.000454,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,6,1378.6852466727748,0.000447,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,7,1516.7289961968168,0.000471,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,8,1368.7869009892156,0.000459,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,9,1473.2554871899129,0.000719,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,10,1407.61236911152,0.00045,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,11,1343.7533155508804,0.000481,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,12,1427.5405501209864,0.000466,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,13,1366.326339357588,0.000451,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,14,1362.1047327599454,0.000471,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,15,1590.6477747117228,0.000462,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,16,1378.6870993809364,0.000465,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,17,1432.3103083670987,0.000478,True
